,0
566,5
567,5
568,6
569,6
570,6
571,6
572,6
573,5
574,5
575,6
576,6
577,5
578,5
579,6
580,5
581,5
582,5
583,6
584,6
585,5
586,6
587,5
588,7
589,6
590,5
591,5
592,5
593,5
594,5
595,5
596,5
597,5
598,5
599,5
600,5
601,5
602,5
603,5
604,5
605,5
606,7
607,6
608,5
609,6
610,5
611,5
612,5
613,6
614,5
615,5
616,5
617,6
618,6
619,6
620,5
621,5
622,5
623,6
624,5
625,5
626,5
627,5
628,5
629,5
630,5
631,6
632,6
633,5
634,5
635,5
636,5
637,5
638,5
639,6
640,5
641,5
642,5
643,5
644,5
645,6
646,5
647,6
648,6
649,5
650,5
651,5
652,7
653,6
654,5
655,5
656,5
657,6
658,5
659,6
660,5
661,5
662,5
663,6
664,6
665,5
666,5
667,5
668,6
669,5
670,6
671,5
672,5
673,5
674,5
675,6
676,5
677,5
678,5
679,5
680,5
681,6
682,5
683,6
684,5
685,6
686,5
687,5
688,5
689,6
690,5
691,5
692,5
693,5
694,5
695,6
696,5
697,5
698,5
699,6
700,5
701,5
702,5
703,5
704,5
705,5
706,5
707,6
708,6
709,6
710,5
711,5
712,5
713,5
714,5
715,5
716,5
717,5
718,5
719,5
720,5
721,5
722,5
723,6
724,5
725,6
726,6
727,5
728,5
729,6
730,5
731,6
732,5
733,5
734,5
735,5
736,5
737,5
738,5
739,5
740,6
741,5
742,5
743,5
744,5
745,5
746,5
747,5
748,5
749,5
750,5
751,5
752,5
753,5
754,5
755,5
756,5
757,5
758,5
759,5
760,5
761,5
762,5
763,5
764,5
765,5
766,5
767,5
768,5
769,5
770,5
771,5
772,5
773,5
774,5
775,5
776,5
777,5
778,6
779,5
780,5
781,5
782,5
783,5
784,5
785,5
786,5
787,5
788,5
789,5
790,5
791,5
792,5
793,6
794,7
795,5
796,5
797,6
798,6
799,6
800,5
801,5
802,6
803,5
804,5
805,7
806,7
807,7
808,5
809,6
810,6
811,6
812,6
813,6
814,6
815,6
816,6
817,6
818,5
819,5
820,5
821,7
822,5
823,5
824,6
825,6
826,6
827,6
828,6
829,6
830,6
831,6
832,6
833,6
834,5
835,5
836,6
837,6
838,6
839,5
840,7
841,6
842,6
843,5
844,6
845,5
846,5
847,5
848,5
849,5
850,5
851,5
852,5
853,6
854,6
855,6
856,6
857,6
858,6
859,6
860,5
861,5
862,6
863,5
864,5
865,5
866,6
867,6
868,6
869,6
870,6
871,6
872,6
873,6
874,6
875,6
876,6
877,6
878,5
879,5
880,5
881,6
882,6
883,5
884,5
885,5
886,5
887,6
888,6
889,5
890,6
891,5
892,5
893,5
894,5
895,6
896,7
897,6
898,7
899,5
900,6
901,6
902,6
903,6
904,6
905,5
906,5
907,6
908,6
909,6
910,7
911,6
912,6
913,7
914,6
915,6
916,5
917,6
918,6
919,6
920,6
921,6
922,6
923,6
924,6
925,6
926,6
927,5
928,6
929,7
930,6
931,5
932,5
933,5
934,6
935,6
936,6
937,6
938,7
939,6
940,7
941,7
942,5
943,5
944,7
945,6
946,7
947,7
948,7
949,7
950,7
951,7
952,6
953,7
954,6
955,6
956,6
957,6
958,6
959,5
960,6
961,5
962,5
963,6
964,6
965,6
966,6
967,5
968,6
969,6
970,6
971,6
972,6
973,6
974,7
975,5
976,5
977,5
978,6
979,6
980,6
981,5
982,6
983,6
984,6
985,6
986,6
987,5
988,5
989,6
990,5
991,5
992,5
993,5
994,5
995,5
996,6
997,6
998,5
999,6
1000,6
1001,6
1002,6
1003,6
1004,6
1005,6
1006,6
1007,6
1008,6
1009,6
1010,6
1011,6
1012,5
1013,5
1014,6
1015,6
1016,7
1017,6
1018,6
1019,6
1020,6
1021,6
1022,6
1023,6
1024,6
1025,5
1026,6
1027,6
1028,6
1029,6
1030,6
1031,6
1032,5
1033,6
1034,5
1035,6
1036,6
1037,5
1038,7
1039,6
1040,5
1041,5
1042,6
1043,6
1044,6
1045,6
1046,6
1047,6
1048,6
1049,6
1050,6
1051,5
1052,6
1053,7
1054,5
1055,5
1056,6
1057,5
1058,6
1059,6
1060,6
1061,7
1062,6
1063,6
1064,6
1065,5
1066,6
1067,6
1068,6
1069,6
1070,6
1071,5
1072,5
1073,6
1074,5
1075,6
1076,6
1077,6
1078,6
1079,5
1080,6
1081,5
1082,5
1083,6
1084,5
1085,5
1086,6
1087,6
1088,6
1089,6
1090,6
1091,6
1092,6
1093,7
1094,6
1095,6
1096,6
1097,5
1098,7
1099,5
1100,7
1101,6
1102,6
1103,6
1104,6
1105,6
1106,6
1107,6
1108,5
1109,6
1110,6
1111,6
1112,6
1113,6
1114,7
1115,6
1116,6
1117,6
1118,7
1119,6
1120,7
1121,6
1122,6
1123,6
1124,6
1125,6
1126,7
1127,6
1128,5
1129,6
1130,6
1131,5
1132,7
1133,6
1134,6
1135,6
1136,6
1137,6
1138,5
1139,5
1140,5
1141,6
1142,6
1143,6
1144,6
1145,6
1146,6
1147,6
1148,6
1149,6
1150,7
1151,6
1152,5
1153,6
1154,6
1155,5
1156,6
1157,6
1158,6
1159,6
1160,6
1161,6
1162,6
1163,5
1164,5
1165,5
1166,6
1167,7
1168,6
1169,6
1170,6
1171,6
1172,7
1173,5
1174,5
1175,6
1176,6
1177,6
1178,5
1179,6
1180,6
1181,6
1182,6
1183,5
1184,5
1185,6
1186,6
1187,6
1188,5
1189,5
1190,7
1191,5
1192,7
1193,5
1194,5
1195,5
1196,5
1197,5
1198,6
1199,5
1200,5
1201,6
1202,6
1203,5
1204,6
1205,6
1206,6
1207,5
1208,6
1209,6
1210,6
1211,5
1212,6
1213,6
1214,6
1215,6
1216,5
1217,6
1218,6
1219,6
1220,6
1221,6
1222,5
1223,7
1224,6
1225,5
1226,5
1227,5
1228,6
1229,5
1230,6
1231,5
1232,5
1233,5
1234,6
1235,5
1236,5
1237,6
1238,5
1239,6
1240,5
1241,5
1242,6
1243,5
1244,5
1245,6
1246,5
1247,6
1248,6
1249,6
1250,6
1251,5
1252,5
1253,5
1254,6
1255,6
1256,5
1257,6
1258,6
1259,6
1260,5
1261,6
1262,5
1263,5
1264,6
1265,6
1266,6
1267,6
1268,5
1269,7
1270,7
1271,6
1272,6
1273,5
1274,6
1275,5
1276,7
1277,5
1278,5
1279,6
1280,6
1281,6
1282,6
1283,5
1284,6
1285,6
1286,7
1287,6
1288,5
1289,5
1290,6
1291,6
1292,6
1293,5
1294,6
1295,5
1296,5
1297,6
1298,6
1299,4
1300,6
1301,6
1302,6
1303,6
1304,5
1305,5
1306,5
1307,6
1308,5
1309,5
1310,5
1311,6
1312,5
1313,5
1314,5
1315,5
1316,6
1317,6
1318,5
1319,5
1320,5
1321,6
1322,6
1323,6
1324,6
1325,6
1326,6
1327,6
1328,5
1329,5
1330,5
1331,5
1332,5
1333,5
1334,5
1335,6
1336,5
1337,5
1338,5
1339,6
1340,6
1341,6
1342,6
1343,6
1344,6
1345,6
1346,6
1347,5
1348,5
1349,6
1350,5
1351,6
1352,5
1353,5
1354,5
1355,5
1356,5
1357,6
1358,5
1359,6
1360,6
1361,5
1362,6
1363,5
1364,6
1365,5
1366,5
1367,5
1368,5
1369,5
1370,5
1371,6
1372,5
1373,5
1374,5
1375,5
1376,5
1377,6
1378,5
1379,6
1380,6
1381,5
1382,5
1383,5
1384,5
1385,5
1386,5
1387,5
1388,5
1389,5
1390,6
1391,6
1392,5
1393,5
1394,5
1395,5
1396,5
1397,5
1398,6
1399,6
1400,5
1401,5
1402,6
1403,6
1404,6
1405,6
1406,6
1407,6
1408,7
1409,6
1410,6
1411,6
1412,6
1413,5
1414,6
1415,5
1416,6
1417,6
1418,5
1419,5
1420,5
1421,5
1422,6
1423,6
1424,6
1425,6
1426,6
1427,6
1428,6
1429,6
1430,6
1431,5
1432,6
1433,6
1434,5
1435,5
1436,5
1437,5
1438,6
1439,6
1440,6
1441,5
1442,5
1443,6
1444,6
1445,5
1446,5
1447,5
1448,6
1449,6
1450,6
1451,6
1452,6
1453,5
1454,6
1455,6
1456,5
1457,5
1458,6
1459,7
1460,6
1461,5
1462,6
1463,6
1464,5
1465,5
1466,5
1467,5
1468,5
1469,5
1470,5
1471,6
1472,6
1473,6
1474,5
1475,7
1476,5
1477,7
1478,5
1479,6
1480,5
1481,6
1482,5
1483,6
1484,6
1485,5
1486,5
1487,6
1488,6
1489,6
1490,7
1491,6
1492,6
1493,5
1494,6
1495,6
1496,5
1497,6
1498,5
1499,6
1500,5
1501,5
1502,5
1503,6
1504,6
1505,5
1506,6
1507,6
1508,6
1509,6
1510,6
1511,5
1512,5
1513,5
1514,5
1515,5
1516,6
1517,6
1518,6
1519,5
1520,6
1521,5
1522,6
1523,6
1524,6
1525,5
1526,5
1527,6
1528,6
1529,6
1530,6
1531,5
1532,6
1533,5
1534,6
1535,5
1536,6
1537,6
1538,6
1539,6
1540,6
1541,6
1542,6
1543,6
1544,6
1545,5
1546,6
1547,6
1548,6
1549,6
1550,5
1551,5
1552,6
1553,5
1554,6
1555,6
1556,5
1557,6
1558,5
1559,5
1560,5
1561,5
1562,5
1563,5
1564,5
1565,6
1566,6
1567,5
1568,5
1569,6
1570,7
1571,6
1572,5
1573,6
1574,5
1575,6
1576,6
1577,6
1578,6
1579,6
1580,6
1581,6
1582,6
1583,5
1584,6
1585,6
1586,6
1587,6
1588,6
1589,5
1590,6
1591,6
1592,6
1593,5
1594,6
1595,6
1596,6
1597,6
1598,6
